	strings	type
3416	is located on	query
3417	is located outside	query
3418	is located southeast of	query
3419	is located to the west of	query
3420	is located west of	query
3421	is lord of	query
3422	is lured back into service by	query
3423	is maker of	query
3424	is managed by	query
3425	is margrave of	query
3426	is married to	query
3427	is marshal of	query
3428	is member of	query
3429	is mentioned in	query
3430	is missing since	query
3431	is misspelled as	query
3432	is most famous for directing	query
3433	is mother of	query
3434	is musical director of	query
3435	is named	query
3436	is named after	query
3437	is named for	query
3438	is named in	query
3439	is native of	query
3440	is near	query
3441	is neighbor of	query
3442	is nephew of	query
3443	is nicknamed	query
3444	is niece of	query
3445	is north of	query
3446	is northeast of	query
3447	is northwest of	query
3448	is not named after	query
3449	is novel by	query
3450	is now conductor emeritus of	query
3451	is of	query
3452	is of descent	query
3453	is of nationality	query
3454	is often called	query
3455	is older brother of	query
3456	is older than	query
3457	is on	query
3458	is on album	query
3459	is on loan from	query
3460	is on the border of	query
3461	is one entry in	query
3462	is one of	query
3463	is one of the most important educational institutions in	query
3464	is organized into	query
3465	is originally titled	query
3466	is owned by	query
3467	is owner and designer of	query
3468	is parent of	query
3469	is part of	query
3470	is part of adaption of	query
3471	is part of cast in	query
3472	is part of series	query
3473	is part of series called	query
3474	is part of the name of	query
3475	is part of the series	query
3476	is part of trilogy with	query
3477	is patriarch of	query
3478	is patron of	query
3479	is persian for	query
3480	is portrayed by	query
3481	is presented in a more favorable way by	query
3482	is president of	query
3483	is prince of	query
3484	is produced by	query
3485	is professionally known as	query
3486	is proposed as the title for	query
3487	is protagonist in	query
3488	is pseudonym of	query
3489	is published by	query
3490	is published in	query
3491	is queen of	query
3492	is recognised as	query
3493	is recognized by	query
3494	is recorded by	query
3495	is recorded in works of	query
3496	is referred to as	query
3497	is regarded as	query
3498	is reissue title of	query
3499	is related to	query
3500	is released by	query
3501	is remake of	query
3502	is remembered as	query
3503	is remembered for	query
3504	is remembered in	query
3505	is responsible for	query
3506	is revered as	query
3507	is ruler of	query
3508	is run by	query
3509	is scheduled to be released on	query
3510	is sequel of	query
3511	is sequel to	query
3512	is served by	query
3513	is set in	query
3514	is similar in melody to	query
3515	is single from	query
3516	is sister of	query
3517	is sister to	query
3518	is situated at the border of	query
3519	is situated in	query
3520	is situated on the border of	query
3521	is sometimes called	query
3522	is sometimes referred to as	query
3523	is son of	query
3524	is south of	query
3525	is southeast of	query
3526	is sovereign lord of	query
3527	is spelled as	query
3528	is spoken in	query
3529	is spoof of	query
3530	is spouse of	query
3531	is stepfather of	query
3532	is subject of	query
3533	is subsidiary of	query
3534	is succeeded by	query
3535	is suffering because	query
3536	is sung by	query
3537	is the	query
3538	is the 14th great grandmother of	query
3539	is the 15th great grandmother of	query
3540	is the 16th great grandmother of	query
3541	is the 17th cousin of	query
3542	is the 17th great grandmother of	query
3543	is the 6th cousin of	query
3544	is the administrative center of	query
3545	is the alias of	query
3546	is the author of	query
3547	is the b side of	query
3548	is the banner of	query
3549	is the birthplace of	query
3550	is the brother of	query
3551	is the captain of	query
3552	is the chief justice of	query
3553	is the child of	query
3554	is the consort of	query
3555	is the count of	query
3556	is the cousin of	query
3557	is the current dutch king of	query
3558	is the current head of	query
3559	is the current king of	query
3560	is the daughter of	query
3561	is the denomination of	query
3562	is the director of	query
3563	is the duchess consort of	query
3564	is the duchess of	query
3565	is the duke of	query
3566	is the editor of	query
3567	is the elder brother of	query
3568	is the elder son of	query
3569	is the eldest brother of	query
3570	is the eldest child of	query
3571	is the eldest grandson of	query
3572	is the eldest son of	query
3573	is the english title of	query
3574	is the father in law of	query
3575	is the father of	query
3576	is the fifth cousin of	query
3577	is the fifth installment in	query
3578	is the first child of	query
3579	is the first duke of	query
3580	is the first sequel to	query
3581	is the first son of	query
3582	is the first tributary of	query
3583	is the former first lady of	query
3584	is the founder of	query
3585	is the french name for	query
3586	is the french title of	query
3587	is the grand duke of	query
3588	is the granddaughter of	query
3589	is the grandfather of	query
3590	is the grandmother of	query
3591	is the grandson of	query
3592	is the great grandchild of	query
3593	is the great granddaughter of	query
3594	is the great grandfather of	query
3595	is the great grandmother of	query
3596	is the great grandson of	query
3597	is the great great grandfather of	query
3598	is the great great grandson of	query
3599	is the great great great grandson of	query
3600	is the half sister of	query
3601	is the head of	query
3602	is the heir of	query
3603	is the hindi word for	query
3604	is the host of	query
3605	is the husband of	query
3606	is the illegitimate son of	query
3607	is the king of	query
3608	is the landgrave of	query
3609	is the last	query
3610	is the last king of	query
3611	is the lead singer of	query
3612	is the lord chamberlain of	query
3613	is the margrave of	query
3614	is the maternal aunt of	query
3615	is the maternal grandmother of	query
3616	is the mayor of	query
3617	is the member of	query
3618	is the modern day name of	query
3619	is the mother in law of	query
3620	is the mother of	query
3621	is the name for	query
3622	is the name of	query
3623	is the nearest regional town of	query
3624	is the neighboring empire of	query
3625	is the nephew of	query
3626	is the niece of	query
3627	is the ninth film in	query
3628	is the older brother of	query
3629	is the oldest daughter of	query
3630	is the parent of	query
3631	is the pen name for	query
3632	is the place of death of	query
3633	is the predecessor of	query
3634	is the present king of	query
3635	is the president of	query
3636	is the pretender to	query
3637	is the prime minister of	query
3638	is the princess consort of	query
3639	is the principal nom de plume of	query
3640	is the same person as	query
3641	is the second cousin of	query
3642	is the second daughter of	query
3643	is the second queen of	query
3644	is the second son of	query
3645	is the sequel of	query
3646	is the sequel to	query
3647	is the sibling of	query
3648	is the singer of	query
3649	is the sister in law of	query
3650	is the sister of	query
3651	is the son of	query
3652	is the spouse of	query
3653	is the stage name of	query
3654	is the studio of	query
3655	is the successor of	query
3656	is the third cousin of	query
3657	is the third installment in	query
3658	is the third installment of	query
3659	is the third son of	query
3660	is the third wife of	query
3661	is the title of	query
3662	is the twin sister of	query
3663	is the uncle of	query
3664	is the wife of	query
3665	is the younger sister of	query
3666	is the youngest child of	query
3667	is the youngest daughter of	query
3668	is the youngest of four children of	query
3669	is the youngest son of	query
3670	is the youngest surviving child of	query
3671	is thought to be	query
3672	is thought to be daughter of	query
3673	is thought to have been king of	query
3674	is titled	query
3675	is titled as	query
3676	is titled in	query
3677	is uncle of	query
3678	is unlocked by	query
3679	is used in	query
3680	is wife of	query
3681	is written by	query
3682	is younger brother of	query
3683	is youngest child of	query
3684	issued	query
3685	issued around the same time as	query
3686	issued by	query
3687	issued on	query
3688	italian translation is	query
3689	jingle is	query
3690	joined	query
3691	joined alliance with	query
3692	joined campaign with	query
3693	joined during	query
3694	joined forces with	query
3695	joined in	query
3696	joined the	query
3697	joined the campaign of	query
3698	joined the forces of	query
3699	joins	query
3700	joint academic venture with	query
3701	joint king with	query
3702	joint warden of	query
3703	jointly commanded	query
3704	jointly ruled with	query
3705	journal of	query
3706	journal published as	query
3707	journey across	query
3708	juxtaposes	query
3709	kept	query
3710	kept his residence in	query
3711	kept surname	query
3712	khan of	query
3713	kicked off the career of	query
3714	kidnapped and beheaded by	query
3715	kidnapped by	query
3716	killed	query
3717	killed at	query
3718	killed at the hands of	query
3719	killed by	query
3720	killed during	query
3721	killed in	query
3722	killed in action near	query
3723	killed in battle at	query
3724	killed on	query
3725	killer of	query
3726	king of	query
3727	knew	query
3728	knighted	query
3729	knighted by	query
3730	knighted in	query
3731	knighted on	query
3732	knocked off	query
3733	knocked the bar off with their poles at	query
3734	known as	query
3735	known by	query
3736	known for	query
3737	known for collaborations with	query
3738	known for contributions to	query
3739	known for designs of	query
3740	known for directing	query
3741	known for her role in	query
3742	known for her roles in	query
3743	known for his role in	query
3744	known for his work with	query
3745	known for movies with	query
3746	known for performance in	query
3747	known for playing	query
3748	known for playing the role of	query
3749	known for portraying	query
3750	known for producing	query
3751	known for role in	query
3752	known for roles in	query
3753	known for starring in	query
3754	known for working with	query
3755	known for works in	query
3756	known for works with	query
3757	known for writing	query
3758	known from	query
3759	known in	query
3760	known professionally as	query
3761	known through	query
3762	known to wear	query
3763	labeled as	query
3764	labelled	query
3765	lack of	query
3766	laid claim to	query
3767	laid to rest in	query
3768	landed first acting role in	query
3769	landgrave of	query
3770	landgravine of	query
3771	language	query
3772	language of	query
3773	language of instruction was	query
3774	largest in	query
3775	last earl of carlisle to own	query
3776	last entry in	query
3777	last film appearance in	query
3778	last film for	query
3779	last film released in	query
3780	last film was	query
3781	last in	query
3782	last issued in	query
3783	last king of	query
3784	last motion picture	query
3785	last movie directed by	query
3786	last movie was	query
3787	last of	query
3788	last played for	query
3789	last played in	query
3790	last recorded count of	query
3791	last release was	query
3792	last ruler of	query
3793	last spanish governor of	query
3794	last to star	query
3795	last two films as director were	query
3796	later	query
3797	later adapted as	query
3798	later became	query
3799	later became emir of	query
3800	later became known as	query
3801	later directed	query
3802	later filmed at	query
3803	later known as	query
3804	later passed to	query
3805	later recorded by	query
3806	later renamed	query
3807	later renamed to	query
3808	later resumed in	query
3809	later reverted to	query
3810	later styled to	query
3811	latest features are	query
3812	launched	query
3813	launched at	query
3814	launched by	query
3815	launched career as	query
3816	launched development project for	query
3817	launched in	query
3818	launched in place of	query
3819	launched on	query
3820	launched the career of	query
3821	lay abbot of	query
3822	lead role	query
3823	lead role played by	query
3824	lead vocalist of	query
3825	leading the events of	query
3826	leads	query
3827	learned	query
3828	learned english from	query
3829	learned instruments with	query
3830	learned to play	query
3831	learns to read english using	query
3832	leased	query
3833	leased by	query
3834	leased to	query
3835	lectured at	query
3836	lectured in	query
3837	lectured on	query
3838	lectures at	query
3839	led	query
3840	led a party of gentlemen including	query
3841	led army in	query
3842	led attack against	query
3843	led by	query
3844	led campaign against	query
3845	led campaign in	query
3846	led communications at	query
3847	led crusaders in	query
3848	led division in	query
3849	led his own group in	query
3850	led raid on	query
3851	led raids against	query
3852	led rebellion on	query
3853	led revolt against	query
3854	led the attack against	query
3855	led the rebellion in	query
3856	led the troops in the late struggle on	query
3857	led to	query
3858	led to evacuation of	query
3859	led to nomination at	query
3860	led to the approval of	query
3861	led troops in pursuit of	query
3862	left	query
3863	left a son named	query
3864	left a son who would later ascend to the throne as	query
3865	left daughters named	query
3866	left estate to	query
3867	left filmmaking and trained	query
3868	left for	query
3869	left his share to	query
3870	left in	query
3871	left inscription at	query
3872	left italy for	query
3873	left most of his property to	query
3874	left over a dispute with	query
3875	left sons named	query
3876	left the band for	query
3877	left to fight with	query
3878	left wealth to	query
3879	legalized	query
3880	legalized under	query
3881	legally changed his name to	query
3882	legislation passed by	query
3883	legitimated by	query
3884	lends his name to	query
3885	length is	query
3886	lent her voice to	query
3887	libretto by	query
3888	licensed to	query
3889	lies about	query
3890	lies beside	query
3891	lies between	query
3892	lies near	query
3893	lies north east of	query
3894	lies north of	query
3895	lies northeast of	query
3896	lies south of	query
3897	lies south of the peak of	query
3898	lies south west of	query
3899	lies southeast of	query
3900	lies southwest of	query
3901	liked by	query
3902	likened to	query
3903	limited release on	query
3904	limited the power of	query
3905	linked to	query
3906	linked with	query
3907	lip synced by	query
3908	listed	query
3909	listed as	query
3910	listed in	query
3911	listed on	query
3912	listed to compete at	query
3913	literal title	query
3914	literally translates as	query
3915	lived as	query
3916	lived at	query
3917	lived between	query
3918	lived during	query
3919	lived from	query
3920	lived in	query
3921	lived in the reign of	query
3922	lived in the time of	query
3923	lived near	query
3924	lived on	query
3925	lived to see	query
3926	lived to the age of	query
3927	lived under	query
3928	lived until	query
3929	lived with	query
3930	lives in	query
3931	living in	query
3932	living on the border with	query
3933	located	query
3934	located 3 2 km southwest of	query
3935	located about	query
3936	located along	query
3937	located along the road connecting	query
3938	located at	query
3939	located between	query
3940	located east northeast of	query
3941	located east of	query
3942	located in	query
3943	located near	query
3944	located near to	query
3945	located north of	query
3946	located northeast of	query
3947	located northwest of	query
3948	located on	query
3949	located west of	query
3950	location	query
3951	location of	query
3952	looked after	query
3953	looked to	query
3954	loosely adapted from	query
3955	loosely based on	query
3956	looted	query
3957	lord lieutenant of	query
3958	lord of	query
3959	lord zu	query
3960	lordship faced resistance from	query
3961	lost	query
3962	lost at	query
3963	lost his arm in	query
3964	lost his arm on	query
3965	lost his leg during	query
3966	lost his life in	query
3967	lost his singing voice in	query
3968	lost powers under	query
3969	lost title after	query
3970	lost to	query
3971	lost wielu  due to rebellion of	query
3972	love interest of	query
3973	lyrics added by	query
3974	lyrics by	query
3975	lyrics concern	query
3976	lyrics written by	query
3977	lyrics wrote by	query
3978	mac version developed by	query
3979	mac version published by	query
3980	made	query
3981	made a cameo in	query
3982	made a county in	query
3983	made a deal with	query
3984	made a decisive break from	query
3985	made a donation to	query
3986	made a freeman in	query
3987	made a freeman of	query
3988	made a hard hitting story about	query
3989	made a treaty with	query
3990	made acquaintance of	query
3991	made acting debut in	query
3992	made after	query
3993	made an agreement with	query
3994	made appearance in	query
3995	made as a response to	query
3996	made at	query
3997	made attempts to assert claims against	query
3998	made available as	query
3999	made available for purchase on	query
4000	made back to back with	query
4001	made baron herbert in	query
4002	made breakthrough by throwing	query
4003	made by	query
4004	made by the same team as	query
4005	made cameo appearance in	query
4006	made cameo appearances on	query
4007	made career in	query
4008	made claim to english throne in	query
4009	made contributions to	query
4010	made debut against	query
4011	made debut as	query
4012	made debut at	query
4013	made debut for	query
4014	made debut in	query
4015	made debut on	query
4016	made debut with	query
4017	made directoral debut in	query
4018	made directorial debut in	query
4019	made directorial debut with	query
4020	made discoveries in	query
4021	made donation to	query
4022	made during	query
4023	made earl of worcester in	query
4024	made film debut in	query
4025	made films about	query
4026	made films in	query
4027	made films including	query
4028	made films with	query
4029	made final film appearance in	query
4030	made first appearance in	query
4031	made for	query
4032	made foray into cinema as associate to	query
4033	made fortune during	query
4034	made her film debut in	query
4035	made his debut in first class cricket at	query
4036	made his directorial debut with	query
4037	made his first film in	query
4038	made history on	query
4039	made history with	query
4040	made in	query
4041	made international debut against	query
4042	made into	query
4043	made its premiere television broadcast on	query
4044	made literary debut with	query
4045	made movies in	query
4046	made of	query
4047	made on location in	query
4048	made plans for	query
4049	made popular	query
4050	made professional debut at	query
4051	made propaganda films for	query
4052	made provision for	query
4053	made re entries on	query
4054	made records for	query
4055	made reference on	query
4056	made reference to	query
4057	made reforms in	query
4058	made screen debut in	query
4059	made simultaneously with	query
4060	made single	query
4061	made tamil film debut in	query
4062	made the film at	query
4063	made using actors from	query
4064	maiden name	query
4065	mainly active in	query
4066	maintained by	query
4067	maintained correspondence with	query
4068	maintained peace in	query
4069	maintained salon in	query
4070	maintains	query
4071	maintains publishing office in	query
4072	maintains rivalry with	query
4073	major distributor of	query
4074	majored in	query
4075	majority being	query
4076	majority owned by	query
4077	makes	query
4078	makes appearance in	query
4079	makes deal with	query
4080	makes use of	query
4081	male equivalent of	query
4082	managed	query
4083	managed by	query
4084	managing editor is	query
4085	manipulated by	query
4086	manufactured	query
4087	manufactures	query
4088	marched against	query
4089	marched from	query
4090	marched on	query
4091	marched troops towards	query
4092	marched with	query
4093	marginalized	query
4094	margrave of	query
4095	marked	query
4096	marked the film debut of	query
4097	marketed	query
4098	marketed as	query
4099	marks	query
4100	marks final role for	query
4101	marks the first installment without	query
4102	marks the first serious effort to portray	query
4103	marks the second collaboration between	query
4104	married	query
4105	married at	query
4106	married before	query
4107	married first	query
4108	married firstly	query
4109	married for a second time to	query
4110	married in	query
4111	married into	query
4112	married on	query
4113	married secondly	query
4114	married since	query
4115	married thirdly	query
4116	married to	query
4117	married until	query
4118	married with	query
4119	martyred near	query
4120	mash up with	query
4121	masked hero in	query
4122	massacred	query
4123	mastered his commercial recordings onto	query
4124	maternal grandfather was	query
4125	maternal grandparents were	query
4126	maternal half siblings include	query
4127	matriculated at	query
4128	may be	query
4129	may be encountered near	query
4130	may have been murdered by	query
4131	may have obtained position by marriage to	query
4132	may leave	query
4133	may refer to	query
4134	mayor of	query
4135	meaning	query
4136	means	query
4137	mediated in the conflict over the control of antioch between	query
4138	meets	query
4139	member of	query
4140	member of parliament for	query
4141	members of	query
4142	memorialized in	query
4143	mention of	query
4144	mentioned	query
4145	mentioned by	query
4146	mentioned during reign of	query
4147	mentioned in	query
4148	mentions	query
4149	mentored	query
4150	mentored by	query
4151	mentored under	query
4152	merged the stylings of	query
4153	merged with	query
4154	met	query
4155	met with	query
4156	might have been responsible for	query
4157	migrated into	query
4158	migrated to	query
4159	military commander for	query
4160	mined by	query
4161	mined for	query
4162	miss mexico in	query
4163	missing since	query
4164	mission is	query
4165	misspelled	query
4166	mixes elements of	query
4167	modeled on	query
4168	moderated by	query
4169	monitored by	query
4170	more popular than	query
4171	morganatic spouse of	query
4172	mortally wounded at	query
4173	most awarded	query
4174	most capped player alongside	query
4175	most famous work was	query
4176	most known for	query
4177	most popular international artist in	query
4178	most powerful landowner in	query
4179	most powerful woman in	query
4180	most records sold in history in	query
4181	most successful film in	query
4182	most successful film of	query
4183	most successful foreign record seller in	query
4184	mother	query
4185	mother died on	query
4186	mother gave birth to	query
4187	mother in law of	query
4188	mother is	query
4189	mother of	query
4190	mother was	query
4191	motivated by	query
4192	motto is	query
4193	mourns in	query
4194	moved army to	query
4195	moved away from	query
4196	moved from	query
4197	moved his court and government to	query
4198	moved into	query
4199	moved on to create	query
4200	moved to	query
4201	moved to co present	query
4202	moved with	query
4203	moved with family to	query
4204	movie debut in	query
4205	moving force behind creation of	query
4206	mp for	query
4207	murdered	query
4208	murdered at	query
4209	murdered by	query
4210	murdered in	query
4211	murdered on	query
4212	murdered on orders of	query
4213	music by	query
4214	music composed by	query
4215	music director was	query
4216	music released on	query
4217	music score by	query
4218	music scored by	query
4219	music video directed in	query
4220	music video rarely played in	query
4221	music video released on	query
4222	music written by	query
4223	mystery series written by	query
4224	n e	query
4225	name is of	query
4226	named	query
4227	named after	query
4228	named as	query
4229	named bishop of	query
4230	named by	query
4231	named for	query
4232	named in	query
4233	named in honor of	query
4234	named in honour of	query
4235	named its award for new talent	query
4236	named one of the most significant films by	query
4237	named the chairman of	query
4238	named to	query
4239	namesake of	query
4240	narrated	query
4241	narrated by	query
4242	narrates	query
4243	narrates from	query
4244	narrates in	query
4245	narration read by	query
4246	narration written by	query
4247	narrative film about	query
4248	narrative revolves around	query
4249	national champion in	query
4250	national team includes	query
4251	nationality	query
4252	nationality is	query
4253	nationalized	query
4254	native of	query
4255	native place is	query
4256	native to	query
4257	nearest higher peak is	query
4258	nearly	query
4259	needed access to the port of	query
4260	negotiated with	query
4261	neighbor of	query
4262	neighbouring magnate of	query
4263	nephew of	query
4264	net worth estimated at	query
4265	never acknowledged	query
4266	never held	query
4267	never reigned owing to	query
4268	nickname	query
4269	nickname is	query
4270	nicknamed	query
4271	niece of	query
4272	noblewoman from	query
4273	nominally belonged to	query
4274	nominally ruled as duke alongside	query
4275	nominated	query
4276	nominated as	query
4277	nominated at	query
4278	nominated by	query
4279	nominated for	query
4280	nominated for film	query
4281	nominated in	query
4282	nominated on	query
4283	nominated under	query
4284	nominee for	query
4285	not as well received as	query
4286	not credited with	query
4287	not given	query
4288	not granted	query
4289	not happy with	query
4290	not in	query
4291	not prosecuted for	query
4292	not selected	query
4293	not styled as	query
4294	not to be confused with	query
4295	not well received by	query
4296	notable for	query
4297	noted for	query
4298	noted for association with	query
4299	notorious and elusive cat burglar of	query
4300	novel	query
4301	novel by	query
4302	novel published in english as	query
4303	novel titled	query
4304	novel written towards the end of life by	query
4305	now	query
4306	now called	query
4307	now in	query
4308	now known as	query
4309	nullified	query
4310	nurtured	query
4311	objected to	query
4312	obtained	query
4313	obtained degree from	query
4314	obtained degree in	query
4315	obtained doctorate in	query
4316	obtained duchy of	query
4317	obtained in exchange	query
4318	obtained pomerelia through inheritance from	query
4319	obtained screen rights to	query
4320	obtained title of	query
4321	occasional	query
4322	occupied	query
4323	occupied the lands of	query
4324	occupied with	query
4325	occurred after	query
4326	occurred before	query
4327	occurred between	query
4328	occurred during	query
4329	occurred from	query
4330	occurred in	query
4331	of	query
4332	of delhi	query
4333	of descent	query
4334	of inhabitants of	query
4335	of origin	query
4336	of the	query
4337	of the early	query
4338	of the same name as	query
4339	offered since	query
4340	offered the english crown to	query
4341	offered the throne to	query
4342	offered to desert to	query
4343	offers	query
4344	offers degrees in	query
4345	officer in	query
4346	officer of	query
4347	official debut happened in	query
4348	official entry to	query
4349	official name is	query
4350	official organ of	query
4351	officially invested	query
4352	often works under pseudonyms such as	query
4353	older brother of	query
4354	older brother to	query
4355	oldest child of	query
4356	omits	query
4357	on	query
4358	on album	query
4359	on her way to	query
4360	on international assignment from	query
4361	on loan from	query
4362	on the board of directors of	query
4363	on the death of	query
4364	one of the earliest anthologies to include the poetry of	query
4365	only directorial of	query
4366	op  70	query
4367	open in	query
4368	opened	query
4369	opened in	query
4370	opened in theaters on	query
4371	opened office in	query
4372	opened on	query
4373	opened to	query
4374	opened to the public in	query
4375	opens	query
4376	operate from	query
4377	operate to	query
4378	operated	query
4379	operated as	query
4380	operated by	query
4381	operated ferries from	query
4382	operated from	query
4383	operated until	query
4384	operates	query
4385	operates as	query
4386	operates in	query
4387	operates under	query
4388	opportunity for	query
4389	opportunity to work with	query
4390	opposed	query
4391	opposed by	query
4392	opposed to	query
4393	opposite	query
4394	opposite side with	query
4395	opted to have name removed from	query
4396	optioned	query
4397	orchestrated	query
4398	ordained as	query
4399	ordained in	query
4400	ordained to	query
4401	ordained to the episcopate at	query
4402	ordered	query
4403	ordered by year in	query
4404	ordered the assassination of	query
4405	ordered the banning of	query
4406	ordered the construction of	query
4407	ordered to pay	query
4408	ordered transferred away from	query
4409	organised	query
4410	organized	query
4411	organized a coup against	query
4412	organized by	query
4413	origin of	query
4414	original footage divided into	query
4415	original name was	query
4416	original title	query
4417	original title described as	query
4418	originally active from	query
4419	originally aired on	query
4420	originally called	query
4421	originally developed theme in	query
4422	originally directed by	query
4423	originally distributed by	query
4424	originally from	query
4425	originally located in	query
4426	originally penned for	query
4427	originally performed by	query
4428	originally produced in	query
4429	originally published in	query
4430	originally published on	query
4431	originally recorded by	query
4432	originally released at	query
4433	originally released by	query
4434	originally released in	query
4435	originally titled	query
4436	originated	query
4437	originated from	query
4438	originated in	query
4439	originated with	query
4440	originates east of	query
4441	originates near	query
4442	otherwise known as	query
4443	ousted	query
4444	outlasted	query
4445	outlived	query
4446	outshone	query
4447	over whether greece should enter	query
4448	overlooks	query
4449	overlordship won from	query
4450	overran	query
4451	oversaw	query
4452	overseen	query
4453	overseen by	query
4454	oversees	query
4455	overthrew	query
4456	overthrown as	query
4457	overthrown by	query
4458	overthrown during	query
4459	owned	query
4460	owned and operated ranches in	query
4461	owned by	query
4462	owned the rights to	query
4463	owner of	query
4464	owns	query
4465	owns photographs by	query
4466	owns works by	query
4467	padded for television into	query
4468	paid extra by	query
4469	paid homage to	query
4470	painted	query
4471	painted by	query
4472	painted landscapes in the style of	query
4473	painted landscapes inspired by	query
4474	painted over	query
4475	painted portrait of	query
4476	painted portraits of	query
4477	painted the portrait of	query
4478	painted the poster for	query
4479	painted unused poster for	query
4480	painting located in	query
4481	paired with	query
4482	palme d  or winning for	query
4483	papers were considered unsafe by	query
4484	parent abbey of	query
4485	parent of	query
4486	parents are	query
4487	parents died in	query
4488	parents were	query
4489	parodied	query
4490	parodied in	query
4491	parody of	query
4492	parodying	query
4493	part in	query
4494	part of	query
4495	part of album	query
4496	part of ensemble in	query
4497	part of ensemble with	query
4498	part of investigation of	query
4499	part of series	query
4500	part of series produced by	query
4501	part of trilogy	query
4502	part of trilogy with	query
4503	part of writing partnership with	query
4504	part of writing team for	query
4505	partially spoken in	query
4506	participated by	query
4507	participated in	query
4508	participated in attack on	query
4509	participated in campaigns in	query
4510	participated in delegations to	query
4511	participated in founding of	query
4512	participated in recordings with	query
4513	participates in	query
4514	partitioned	query
4515	partitioned in	query
4516	partitioned territories with	query
4517	partly based on	query
4518	partly compelled by	query
4519	partner in	query
4520	partner in beach volleyball is	query
4521	partnered	query
4522	partnered with	query
4523	partners with	query
4524	passed	query
4525	passed away on	query
4526	passed territory to	query
4527	passed the crown of luxembourg to	query
4528	passed the title of	query
4529	passed through	query
4530	passed to	query
4531	passing as	query
4532	paternal granddaughter of	query
4533	paternal grandfather of	query
4534	paternal grandparents are	query
4535	paternal grandparents were	query
4536	paternal grandson of	query
4537	patron of	query
4538	patronized	query
4539	pays tribute to	query
4540	peak position of	query
4541	peaked at	query
4542	peaked at number	query
4543	peaked at number 30 on	query
4544	peaked at number 5 on	query
4545	peaked at number one in	query
4546	peaked at number one on	query
4547	peaked in	query
4548	peaked on	query
4549	peaked within the top ten of	query
4550	peaking at number	query
4551	peer of	query
4552	pen name given by	query
4553	penned	query
4554	penned alias	query
4555	penned by	query
4556	penned screenplay for	query
4557	penned songs for	query
4558	penning	query
4559	perceived as	query
4560	perform by	query
4561	perform for	query
4562	performance at	query
4563	performance in	query
4564	performance in series agar tum na hotay	query
4565	performed	query
4566	performed as	query
4567	performed at	query
4568	performed by	query
4569	performed cinematography for	query
4570	performed during	query
4571	performed in	query
4572	performed live by	query
4573	performed live during	query
4574	performed live on	query
4575	performed music of	query
4576	performed on	query
4577	performed on stage for the first time at the age of	query
4578	performed poorly at	query
4579	performed to promote	query
4580	performed under the name	query
4581	performed until	query
4582	performed vocals of	query
4583	performed with	query
4584	performs	query
4585	performs at	query
4586	performs songs in	query
4587	perhaps was a professor at	query
4588	perished during	query
4589	permeated	query
4590	permitted	query
4591	persecuted by	query
4592	persecuted during	query
4593	personal attachment to	query
4594	personal life	query
4595	personal name	query
4596	personified by	query
4597	persuaded	query
4598	persuaded the donation to	query
4599	petitioned for seat in	query
4600	petitioned to serve in	query
4601	pfalzgraf of	query
4602	ph d  in	query
4603	photographed	query
4604	photographed for	query
4605	photographed in	query
4606	pick off	query
4607	picked up	query
4608	picked up by	query
4609	pillaged	query
4610	pioneer in	query
4611	pioneer of	query
4612	pioneered	query
4613	pioneering cyber character created by	query
4614	pitched	query
4615	pitched for	query
4616	pitched in	query
4617	place of burial	query
4618	place where	query
4619	placed	query
4620	placed before	query
4621	placed bones of	query
4622	placed curse on	query
4623	placed in	query
4624	placed number 10 on	query
4625	placed reign of marianus i in	query
4626	placed third in	query
4627	planned by	query
4628	planned film for	query
4629	planned for	query
4630	planned for release in	query
4631	planned to establish as	query
4632	planned to have	query
4633	planned to join	query
4634	planned to make	query
4635	planned to travel to	query
4636	planning to	query
4637	planning to record	query
4638	play	query
4639	play in	query
4640	played	query
4641	played a deciding role in establishing	query
4642	played a featured role in	query
4643	played a key role in the reign of	query
4644	played a major role in preventing	query
4645	played a pacifying role in	query
4646	played a part in	query
4647	played a role in	query
4648	played a role in passing	query
4649	played a role in the foundation of	query
4650	played a significant role in the dethronement of	query
4651	played against	query
4652	played as	query
4653	played at	query
4654	played by	query
4655	played character	query
4656	played charity concerts for	query
4657	played club cricket for	query
4658	played club cricket in	query
4659	played college basketball for	query
4660	played college football at	query
4661	played college football for	query
4662	played cricket at	query
4663	played cricket between	query
4664	played cricket for	query
4665	played cricket in	query
4666	played cricket matches in	query
4667	played during	query
4668	played football at	query
4669	played football for	query
4670	played for	query
4671	played from	query
4672	played in	query
4673	played in a band called	query
4674	played in final against	query
4675	played in the house band at	query
4676	played junior football for	query
4677	played on	query
4678	played pivotal role in	query
4679	played poker in	query
4680	played professionally in	query
4681	played role in	query
4682	played role of	query
4683	played roles in	query
4684	played semi professionally in	query
4685	played the character	query
4686	played the role of	query
4687	played until	query
4688	played with	query
4689	playing	query
4690	playing for	query
4691	playing in	query
4692	playing position is	query
4693	plays	query
4694	plays as	query
4695	plays at	query
4696	plays character in	query
4697	plays for	query
4698	plays in	query
4699	plays on	query
4700	plays the role of	query
4701	plays with	query
4702	pledged to	query
4703	plot changed greatly in	query
4704	plot concerns	query
4705	plot follows	query
4706	plot inspired by	query
4707	plot involves	query
4708	plot tells about	query
4709	plots with	query
4710	poached on the lands of	query
4711	poet of	query
4712	polemicist against	query
